name,brand,sku,category_hierarchy,url,price,unit_pack_size,availability,description,specifications,image_urls,alternative_products
Safco CleanCare™,,,,https://www.safcodental.com/product/safco-cleancare-trade-prophy-paste,,,,,{},https://www.safcodental.com/media/catalog/product/l/b/lbzah.jpg?optimize=medium&fit=bounds&height=360&width=360&canvas=360:360,
R.T.R. Membrane,Safco Dental,PFWRX,Sutures & surgical products,https://www.safcodental.com/product/r-t-r-membrane,$108.99,,In Stock,"Biocompatible Type I bovine Achilles tendon collagen. The absorbable, implantable material creates a barrier to protect PDL development from fast growing tissues. Supports wound stabilization and allows essential nutrients to pass through.

Indicated for GTR procedures.
Absorbable within 4-8 weeks.
Appears white in the dry state; translucent and non-slippery when wet.
Cut to size and shape.
",{},"https://www.safcodental.com/media/catalog/product/p/f/pfwrx.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Myco Medical&nbsp;GLASSVAN&reg; Scalpel Blades,Safco Dental,PFLWR,Sutures & surgical products,https://www.safcodental.com/product/myco-medical-nbsp-glassvan-reg-scalpel-blades,$24.99,,In Stock,"GLASSVAN&reg; Surgical Blades have been trusted by users around the world for more than 25 years.

Automated grinding and proprietary polishing process ensure consistent, clean, and sharp cutting edges
Produced from high quality Swiss carbon steel
Two VCI strips ensure product and packaging integrity and reduce risk of blade piercing the foil
Manufactured in FDA-inspected facilities and conform to ISO-7740 and ISO-13485

Carbon steel and stainless-steel blades are available sterile in sizes 10-25, with select sizes also available non-sterile.",{},"https://www.safcodental.com/media/catalog/product/p/f/pflwr.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Regenafill&trade; Bone Graft Plug,Safco Dental,PFWRL,Sutures & surgical products,https://www.safcodental.com/product/regenafill-sup-trade-sup-bone-graft-plug,$259.99,,In Stock,"Composed of 80% carbonate phosphate based mineral with a carbonate apatite structure combined with 20% Type I Achilles bovine tendon collagen. This mineral is physically and chemically comparable to the mineralized matrix of human bone, which makes it an excellent choice for socket preservation. No membrane needed in most cases. &nbsp;
Intended for use in dental surgery including:
&bull; Augmentation or reconstructive treatment of the alveolar ridge.&bull; Filling of infrabony periodontal defects.&bull; Filling of defects after root resection, apicoectomy, and cystectomy.&bull; Filling of extraction sockets to enhance preservation of alveolar ridge.&bull; Elevation of the maxillary sinus floor.&bull; Filling of periodontal defects in conjunction with GTR. &bull; Filling of peri-implant defects in conjunction with GBR.",{},"https://www.safcodental.com/media/catalog/product/p/f/pfwrl.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Surgicel&reg;,Safco Dental,PFPHJ,Sutures & surgical products,https://www.safcodental.com/product/surgicel-reg,$1118.99,,In Stock,"Sterile, shear-weave, absorbable hemostat used to control bleeding in tooth extractions and oral surgery. Produced from oxidized&nbsp;regenerated cellulose to ensure purity and consistency. Fully absorbable within 7-14 days. Strong yet flexible and malleable to conform to irregular&nbsp;surfaces; may be folded or cut to size.",{},"https://www.safcodental.com/media/catalog/product/p/f/pfphj.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
R.T.R.+ Syringe,Safco Dental,PFWRU,Sutures & surgical products,https://www.safcodental.com/product/r-t-r-syringe,$152.99,,In Stock,"Sterile and fully resorbable synthetic bone grafting material. Ideal osteogenic matrix mimics human bone. Available in 2 biphasic&nbsp;&beta;-TCP (&beta;-Tricalcium phosphate) / Hydroxyapatite formulations:

40%/60%: New bone formation gradually forms at the same pace as natural bone.
80%/20%: New natural bone will generate at an accelerated pace.

Indications include: post-extraction socket preservation, periodontal defects, infrabony defects, peri-implant defects, sinus lift, ridge augmentation, and cystic cavities.",{},"https://www.safcodental.com/media/catalog/product/p/f/pfwru.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Disposable scalpels - Bard-Parker (BD),Safco Dental,PFLUG,Sutures & surgical products,https://www.safcodental.com/product/disposable-scalpels-bard-parker-bd,$18.99,,In Stock,"Sterile disposable scalpel with a stainless steel blade.&nbsp;Intended for tissue separation, and other procedures that require a sharp surgical blade to puncture or cut.
Offers the superior cutting advantages of stainless steel technology.

Consistent sharpness, control and strength.
Uniquely packaged for safety and ease of use.
Sterile.
Not made with natural rubber latex
",{},"https://www.safcodental.com/media/catalog/product/p/f/pflug.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Soft Tissue Trimmer,Safco Dental,PFLWH,Sutures & surgical products,https://www.safcodental.com/product/soft-tissue-trimmer,$139.99,,In Stock,FG bur designed for soft tissue surgery. Can be used as an alternative to electrosurgery and surgical blades; functions as a rotating scalpel for soft tissue that promotes coagulation for minimal bleeding. Biocompatible&nbsp;hard oxide point cuts tissue without burning. Autoclavable.,{},"https://www.safcodental.com/media/catalog/product/p/f/pflwh.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Feather&reg;&nbsp;Microsurgical Blades,Safco Dental,PFLVV,Sutures & surgical products,https://www.safcodental.com/product/feather-sup-reg-nbsp-sup-microsurgical-blades,$89.99,,In Stock,"Advanced instrument system of interchangeable blades and handles.

Ultra-sharp, retains cutting efficiency.
Ideal for microsurgery &amp; use with a microscope.
Optimal shapes &amp; blade thickness.
Small tips for surgical precision.
Variety of applications including periodontal &amp; regenerative surgery.
Multiple handle designs.
Made of high-quality stainless steel
All blades are gamma-sterilized and can be used immediately after opening the package.&nbsp;
",{},"https://www.safcodental.com/media/catalog/product/p/f/pflvv.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
Safety Scalpels,Safco Dental,PFLVZ,Sutures & surgical products,https://www.safcodental.com/product/safety-scalpels,$38.49,,In Stock,"Retractable blade scalpel offers ultimate safety.

Sterile Stainless steel, razor-sharp cutting edge.
Advance blade with slider in one motion.
Blade locks into place with audible confirmation.
Retract with one motion to protected position.
Metric ruler on each scalpel.
Individually packaged.

&nbsp;",{},"https://www.safcodental.com/media/catalog/product/p/f/pflvz.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",
